,dis,var,Cor,dis_설명,var_설명
158,DF2_PR,BE3_84,-0.488,우울증 현재 유병 여부,일_중강도 신체활동 시간(분)
117,DF2_PR,BS12_2,0.577,우울증 현재 유병 여부,(성인) 전자담배 현재사용여부
151,DH4_PR,DN1_PR,0.408,중이염 현재 유병 여부,신부전 현재 유병 여부 
92,DH4_PR,DJ4_3,0.556,중이염 현재 유병 여부,천식 약복용
153,DH4_PR,DN1_PT,0.408,중이염 현재 유병 여부,신부전 치료 
77,DH4_PR,DC6_PT,-0.5,중이염 현재 유병 여부,폐암 치료 여부 
113,DH4_PR,BS5_4,0.439,중이염 현재 유병 여부,(성인) 니코틴의존
87,DH4_PR,DJ4_PT,0.417,중이염 현재 유병 여부,천식 치료 
125,DH4_PR,HE_PFTTR,-0.632,중이염 현재 유병 여부,만성폐쇄성폐질환 치료 여부
133,DH4_PR,DC4_PT,0.632,중이염 현재 유병 여부,유방암 치료 여부 
109,DH4_PR,BD2_14,-0.5,중이염 현재 유병 여부,(만12세이상) 한번에 마시는 음주량_잔
100,DH4_PR,DC11_PR,0.417,중이염 현재 유병 여부,기타암1 현재 유병 여부 
168,DH4_PR,BS5_1,0.402,중이염 현재 유병 여부,(성인) 1개월내 금연계획
138,DH4_PR,DK4_PT,0.5,중이염 현재 유병 여부,간경변증 치료 
186,DH4_PR,DH4_PT,0.513,중이염 현재 유병 여부,중이염 치료
105,DH4_PR,DC11_PT,0.75,중이염 현재 유병 여부,기타암1 치료 여부 
0,DI1_PR,DI1_PT,0.82,고혈압 현재 유병 여부 ,고혈압 치료
2,DI1_PR,DI1_2,0.802,고혈압 현재 유병 여부 ,혈압조절제 복용
4,DI1_PR,DC12_PR,-1.0,고혈압 현재 유병 여부 ,기타암2 현재 유병 여부 
7,DI2_PR,DI2_PT,0.789,이상지질혈증 현재 유병 여부,이상지질혈증 치료 
6,DI2_PR,HE_HCHOL,0.682,이상지질혈증 현재 유병 여부,고콜레스테롤혈증 유병여부(19세이상)
5,DI2_PR,DI2_2,0.78,이상지질혈증 현재 유병 여부,이상지질혈증 약복용
11,DI3_PR,DK9_PT,-0.612,뇌졸중 현재 유병 여부 ,C형간염 치료 
14,DI3_PR,BE3_78,-0.43,뇌졸중 현재 유병 여부 ,여가_고강도 신체활동 시간(분)
8,DI3_PR,DI3_PT,0.885,뇌졸중 현재 유병 여부 ,뇌졸중 치료 
27,DI4_PR,DI5_PT,0.762,심근경색증 또는 협심증 현재 유병 여부,심근경색증 치료
32,DI4_PR,DI6_PT,0.757,심근경색증 또는 협심증 현재 유병 여부,협심증 치료
22,DI4_PR,DI4_PT,0.815,심근경색증 또는 협심증 현재 유병 여부,심근경색증 또는 협심증 치료
46,DI4_PR,BE3_74,-1.0,심근경색증 또는 협심증 현재 유병 여부,일_고강도 신체활동 시간(분)
40,DI4_PR,BE3_72,1.0,심근경색증 또는 협심증 현재 유병 여부,일_고강도 신체활동 일수
35,DI4_PR,DC1_PT,-0.439,심근경색증 또는 협심증 현재 유병 여부,위암 치료 여부
28,DI5_PR,DI5_PT,0.762,심근경색증 현재 유병 여부,심근경색증 치료
41,DI5_PR,BE3_72,1.0,심근경색증 현재 유병 여부,일_고강도 신체활동 일수
23,DI5_PR,DI4_PT,0.792,심근경색증 현재 유병 여부,심근경색증 또는 협심증 치료
47,DI5_PR,BE3_74,-1.0,심근경색증 현재 유병 여부,일_고강도 신체활동 시간(분)
52,DI5_PR,DL1_PT,-0.632,심근경색증 현재 유병 여부,아토피피부염 치료 
56,DI5_PR,BH1_8,-0.434,심근경색증 현재 유병 여부,(성인) 건강검진 _무료건강검진
57,DI5_PR,BH2_67,-0.433,심근경색증 현재 유병 여부,(성인) 암검진_무료
157,DI6_PR,BE3_84,-0.425,협심증 현재 유병 여부,일_중강도 신체활동 시간(분)
98,DI6_PR,DC11_PR,-0.439,협심증 현재 유병 여부,기타암1 현재 유병 여부 
33,DI6_PR,DI6_PT,0.805,협심증 현재 유병 여부,협심증 치료
103,DI6_PR,DC11_PT,-0.531,협심증 현재 유병 여부,기타암1 치료 여부 
37,DI6_PR,DC1_PT,-0.418,협심증 현재 유병 여부,위암 치료 여부
24,DI6_PR,DI4_PT,0.756,협심증 현재 유병 여부,심근경색증 또는 협심증 치료
81,DJ2_PR,HE_PFTAG,0.453,폐결핵 현재 유병 여부 ,만성폐쇄성폐질환 의사진단 연령
84,DJ2_PR,DJ2_PT,0.853,폐결핵 현재 유병 여부 ,폐결핵 치료 
116,DJ4_PR,BS12_2,-1.0,천식 현재 유병 여부 ,(성인) 전자담배 현재사용여부
107,DJ4_PR,BD2_14,-0.5,천식 현재 유병 여부 ,(만12세이상) 한번에 마시는 음주량_잔
85,DJ4_PR,DJ4_PT,0.619,천식 현재 유병 여부 ,천식 치료 
42,DJ4_PR,BE3_72,0.56,천식 현재 유병 여부 ,일_고강도 신체활동 일수
102,DJ4_PR,DC11_PT,-0.509,천식 현재 유병 여부 ,기타암1 치료 여부 
49,DJ4_PR,BE3_74,0.526,천식 현재 유병 여부 ,일_고강도 신체활동 시간(분)
112,DJ4_PR,BS5_4,0.487,천식 현재 유병 여부 ,(성인) 니코틴의존
97,DJ4_PR,DC11_PR,-0.408,천식 현재 유병 여부 ,기타암1 현재 유병 여부 
66,DJ4_PR,BE3_76,0.471,천식 현재 유병 여부 ,여가_고강도 신체활동 일수
91,DJ4_PR,DJ4_3,0.625,천식 현재 유병 여부 ,천식 약복용
129,DJ6_PR,DC4_PT,0.73,부비동염 현재 유병 여부,유방암 치료 여부 
135,DJ6_PR,DK4_PT,1.0,부비동염 현재 유병 여부,간경변증 치료 
143,DJ6_PR,BS3_3,0.88,부비동염 현재 유병 여부,(성인) 가끔흡연자 최근 1달간 흡연일수
145,DJ6_PR,BS5,0.481,부비동염 현재 유병 여부,(성인) 1년간 하루이상 금연 여부
126,DJ6_PR,LK_LB_IT,0.582,부비동염 현재 유병 여부,영양표시 중 관심영양소
123,DJ6_PR,HE_PFTTR,0.632,부비동염 현재 유병 여부,만성폐쇄성폐질환 치료 여부
149,DJ6_PR,DN1_PR,0.548,부비동염 현재 유병 여부,신부전 현재 유병 여부 
119,DJ6_PR,DJ6_PT,0.441,부비동염 현재 유병 여부,부비동염 치료
152,DJ6_PR,DN1_PT,0.548,부비동염 현재 유병 여부,신부전 치료 
108,DJ6_PR,BD2_14,0.582,부비동염 현재 유병 여부,(만12세이상) 한번에 마시는 음주량_잔
36,DJ6_PR,DC1_PT,0.408,부비동염 현재 유병 여부,위암 치료 여부
154,DJ8_PR,BS12_47,0.428,알레르기비염 현재 유병 여부 ,(성인) 현재사용담배종류: 찐담배
130,DJ8_PR,DC4_PT,0.447,알레르기비염 현재 유병 여부 ,유방암 치료 여부 
67,DJ8_PR,BE3_76,0.403,알레르기비염 현재 유병 여부 ,여가_고강도 신체활동 일수
136,DJ8_PR,DK4_PT,0.707,알레르기비염 현재 유병 여부 ,간경변증 치료 
246,DK4_PR,DE1_33,-0.527,간경변증 현재유병 여부 ,당뇨병혈당관리치료_비약물 요법
242,DK4_PR,HE_LDL_DRCT,0.453,간경변증 현재유병 여부 ,LDL-콜레스테롤(직접검사)
250,DK4_PR,BO1_2,-0.413,간경변증 현재유병 여부 ,(성인) 1년간 체중 감소량
273,DK4_PR,BD2_31,-0.464,간경변증 현재유병 여부 ,(만12세이상) 폭음 빈도
275,DK4_PR,BD2_1,-0.536,간경변증 현재유병 여부 ,(만12세이상) 한번에 마시는 음주량
96,DK4_PR,DJ4_3,0.612,간경변증 현재유병 여부 ,천식 약복용
106,DK4_PR,DC11_PT,-0.577,간경변증 현재유병 여부 ,기타암1 치료 여부 
101,DK4_PR,DC11_PR,-0.577,간경변증 현재유병 여부 ,기타암1 현재 유병 여부 
274,DK4_PR,DE1_32,0.527,간경변증 현재유병 여부 ,당뇨병혈당관리치료_당뇨병약 
122,DK4_PR,DJ6_PT,0.5,간경변증 현재유병 여부 ,부비동염 치료
142,DK4_PR,DK4_PT,0.734,간경변증 현재유병 여부 ,간경변증 치료 
90,DK4_PR,DJ4_PT,0.612,간경변증 현재유병 여부 ,천식 치료 
26,DK8_PR,DI4_PT,-0.452,B형간염 현재 유병 여부 ,심근경색증 또는 협심증 치료
227,DK8_PR,DI3_2,-0.707,B형간염 현재 유병 여부 ,뇌졸중 후유증
256,DK8_PR,HE_HEPAB,0.59,B형간염 현재 유병 여부 ,B형간염표면항원 양성여부(10세이상)
249,DK8_PR,BO1_2,0.44,B형간염 현재 유병 여부 ,(성인) 1년간 체중 감소량
220,DK8_PR,BE3_88,0.48,B형간염 현재 유병 여부 ,여가_중강도 신체활동 시간(분)
252,DK8_PR,BS3_2,0.935,B형간염 현재 유병 여부 ,(성인) 하루평균 흡연량
255,DK8_PR,BD2_32,-0.417,B형간염 현재 유병 여부 ,(성인) 여자 폭음 빈도
110,DK8_PR,BD2_14,-1.0,B형간염 현재 유병 여부 ,(만12세이상) 한번에 마시는 음주량_잔
34,DK8_PR,DI6_PT,-0.44,B형간염 현재 유병 여부 ,협심증 치료
9,DK8_PR,DI3_PT,-0.447,B형간염 현재 유병 여부 ,뇌졸중 치료 
115,DK8_PR,BS5_4,0.913,B형간염 현재 유병 여부 ,(성인) 니코틴의존
163,DK8_PR,DF2_PT,0.707,B형간염 현재 유병 여부 ,우울증 치료 
181,DK8_PR,DE2_PT,0.5,B형간염 현재 유병 여부 ,갑상선 질환 치료 
185,DK8_PR,DK8_PT,0.88,B형간염 현재 유병 여부 ,B형간염 치료 
80,DK8_PR,DC6_PT,0.5,B형간염 현재 유병 여부 ,폐암 치료 여부 
257,DK8_PR,LK_LB_EF,0.548,B형간염 현재 유병 여부 ,영양표시 영향여부
258,DK9_PR,BP_PHQ_8,-0.447,C형간염 현재유병 여부 ,(성인) PHQ-9 문항8
10,DK9_PR,DI3_PT,-0.612,C형간염 현재유병 여부 ,뇌졸중 치료 
268,DK9_PR,BS5_34,0.408,C형간염 현재유병 여부 ,(성인) 금연방법: 병의원을 통해 니코틴 대체용품 구입
267,DK9_PR,BS5_21,-0.408,C형간염 현재유병 여부 ,(성인) 금연방법: 의지로
111,DK9_PR,BD2_14,-0.5,C형간염 현재유병 여부 ,(만12세이상) 한번에 마시는 음주량_잔
266,DK9_PR,BS6_3,-0.839,C형간염 현재유병 여부 ,(성인) 과거흡연자 하루평균 흡연량
265,DK9_PR,BS6_2,0.769,C형간염 현재유병 여부 ,(성인) 과거흡연자 흡연기간(월 환산)
263,DK9_PR,HE_BPLT,-0.686,C형간염 현재유병 여부 ,혈소판
264,DK9_PR,HE_COUGH1,0.435,C형간염 현재유병 여부 ,연속 3개월이상 기침 경험여부
262,DK9_PR,HE_WBC,-0.405,C형간염 현재유병 여부 ,백혈구
261,DK9_PR,HE_TG,-0.565,C형간염 현재유병 여부 ,중성지방
260,DK9_PR,HE_CHOL,-0.497,C형간염 현재유병 여부 ,총콜레스테롤
254,DK9_PR,BS6_4,-0.566,C형간염 현재유병 여부 ,(성인) 과거흡연자 금연기간(월 환산)
259,DK9_PR,HE_HBA1C,0.403,C형간염 현재유병 여부 ,당화혈색소
244,DK9_PR,N_DIET_WHY,-0.926,C형간염 현재유병 여부 ,식사요법이유
236,DK9_PR,HE_ALT,0.442,C형간염 현재유병 여부 ,ALT(SGPT)
270,DK9_PR,BS12_43,-1.0,C형간염 현재유병 여부 ,(성인) 현재사용담배종류: 시가
169,DK9_PR,BS5_1,-0.577,C형간염 현재유병 여부 ,(성인) 1개월내 금연계획
203,DK9_PR,BM14_1,-0.791,C형간염 현재유병 여부 ,치과진료 미치료 이유
188,DK9_PR,DH4_PT,-0.5,C형간염 현재유병 여부 ,중이염 치료
272,DK9_PR,BS12_37,-0.832,C형간염 현재유병 여부 ,(성인) 평생사용담배종류: 찐담배
89,DK9_PR,DJ4_PT,1.0,C형간염 현재유병 여부 ,천식 치료 
211,DK9_PR,BH2_63,0.463,C형간염 현재유병 여부 ,(성인) 암검진_본인부담특정
95,DK9_PR,DJ4_3,1.0,C형간염 현재유병 여부 ,천식 약복용
234,DK9_PR,HE_AST,0.537,C형간염 현재유병 여부 ,AST(SGOT)
55,DK9_PR,DL1_PT,1.0,C형간염 현재유병 여부 ,아토피피부염 치료 
13,DK9_PR,DK9_PT,0.626,C형간염 현재유병 여부 ,C형간염 치료 
269,DK9_PR,BS8_2,1.0,C형간염 현재유병 여부 ,(성인) 직장실내 간접흡연 노출 여부
271,DK9_PR,BS12_46,1.0,C형간염 현재유병 여부 ,(성인) 현재사용담배종류: 피운 적 없음
228,DK9_PR,DI3_2,-0.408,C형간염 현재유병 여부 ,뇌졸중 후유증
164,DK9_PR,DF2_PT,-0.5,C형간염 현재유병 여부 ,우울증 치료 
165,DL1_PR,AC3,-1.0,아토피피부염 현재 유병 여부 ,손상 횟수
59,DL1_PR,DM3_PT,-1.0,아토피피부염 현재 유병 여부 ,류마티스성 관절염 치료
86,DL1_PR,DJ4_PT,0.433,아토피피부염 현재 유병 여부 ,천식 치료 
159,DL1_PR,BE3_84,0.756,아토피피부염 현재 유병 여부 ,일_중강도 신체활동 시간(분)
18,DL1_PR,BE3_78,-0.404,아토피피부염 현재 유병 여부 ,여가_고강도 신체활동 시간(분)
170,DL1_PR,BE3_82,-0.5,아토피피부염 현재 유병 여부 ,일_중강도 신체활동 일수
31,DL1_PR,DI5_PT,-0.447,아토피피부염 현재 유병 여부 ,심근경색증 치료
131,DL1_PR,DC4_PT,-1.0,아토피피부염 현재 유병 여부 ,유방암 치료 여부 
69,DL1_PR,BE3_76,0.522,아토피피부염 현재 유병 여부 ,여가_고강도 신체활동 일수
53,DL1_PR,DL1_PT,0.46,아토피피부염 현재 유병 여부 ,아토피피부염 치료 
3,DL1_PR,DI1_2,0.431,아토피피부염 현재 유병 여부 ,혈압조절제 복용
167,DL1_PR,BS5_1,-0.516,아토피피부염 현재 유병 여부 ,(성인) 1개월내 금연계획
144,DL1_PR,BS3_3,-0.5,아토피피부염 현재 유병 여부 ,(성인) 가끔흡연자 최근 1달간 흡연일수
104,DL1_PR,DC11_PT,-1.0,아토피피부염 현재 유병 여부 ,기타암1 치료 여부 
1,DL1_PR,DI1_PT,0.444,아토피피부염 현재 유병 여부 ,고혈압 치료
127,DL1_PR,LK_LB_IT,0.444,아토피피부염 현재 유병 여부 ,영양표시 중 관심영양소
63,DM3_PR,DC7_PT,-0.471,류마티스성 관절염 현재 유병 여부,갑상선암 치료 여부 
58,DM3_PR,DM3_PT,0.439,류마티스성 관절염 현재 유병 여부,류마티스성 관절염 치료
29,DM3_PR,DI5_PT,0.461,류마티스성 관절염 현재 유병 여부,심근경색증 치료
15,DM3_PR,BE3_78,0.464,류마티스성 관절염 현재 유병 여부,여가_고강도 신체활동 시간(분)
65,DM3_PR,BE3_76,-0.685,류마티스성 관절염 현재 유병 여부,여가_고강도 신체활동 일수
61,DM3_PR,DC3_PT,-1.0,류마티스성 관절염 현재 유병 여부,대장암 치료 여부 
12,DM4_PR,DK9_PT,-0.516,골다공증 현재 유병 여부,C형간염 치료 
76,DM4_PR,DC6_PT,0.471,골다공증 현재 유병 여부,폐암 치료 여부 
73,DM4_PR,DM4_PT,0.494,골다공증 현재 유병 여부,골다공증 치료
16,DM4_PR,BE3_78,0.821,골다공증 현재 유병 여부,여가_고강도 신체활동 시간(분)
48,DM4_PR,BE3_74,-0.479,골다공증 현재 유병 여부,일_고강도 신체활동 시간(분)
