,변수명,변수설명7,변수설명8
43,DI5_DG,심근경색증 의사진단 여부,심근경색증 의사진단 여부
44,DI5_AG,심근경색증 진단시기,심근경색증 진단시기
45,DI5_PT,심근경색증 치료,심근경색증 치료
46,DI6_DG,협심증 의사진단 여부,협심증 의사진단 여부
47,DI6_AG,협심증 진단시기,협심증 진단시기
48,DI6_PT,협심증 치료,협심증 치료
49,DM1_DG,관절염 의사진단 여부,관절염 의사진단 여부
50,DM1_PR,관절염 현재 유병 여부,관절염 현재 유병 여부
51,DM1_PT,관절염 치료,관절염 치료
52,DM2_AG,골관절염 진단시기,골관절염 진단시기
53,DM3_DG,류마티스성 관절염 의사진단 여부,류마티스성 관절염 의사진단 여부
54,DM3_AG,류마티스성 관절염 진단시기,류마티스성 관절염 진단시기
55,DM3_PT,류마티스성 관절염 치료,류마티스성 관절염 치료
56,DM4_DG,골다공증 의사진단 여부,골다공증 의사진단 여부
57,DM4_AG,골다공증 진단시기,골다공증 진단시기
58,DM4_PT,골다공증 치료,골다공증 치료
59,DJ2_AG,폐결핵 진단시기,폐결핵 진단시기
60,DJ4_DG,천식 의사진단 여부,천식 의사진단 여부
61,DJ4_AG,천식 진단시기,천식 진단시기
62,DJ4_PT,천식 치료 ,천식 치료 
63,DJ4_3,천식 약복용,천식 약복용
64,DE1_DG,당뇨병 의사진단 여부,당뇨병 의사진단 여부
65,DE1_AG,당뇨병 진단시기,당뇨병 진단시기
66,DE1_3,당뇨병혈당관리치료여부,당뇨병혈당관리치료여부
67,DE1_4,안저검사,안저검사
68,DE2_AG,갑상선 질환 진단시기,갑상선 질환 진단시기
69,DC1_DG,위암 의사진단 여부,위암 의사진단 여부
70,DC1_AG,위암 진단시기,위암 진단시기
71,DC1_PT,위암 치료 여부,위암 치료 여부
72,DC2_DG,간암 의사진단 여부,간암 의사진단 여부
73,DC2_AG,간암 진단시기,간암 진단시기
74,DC3_DG,대장암 의사진단 여부,대장암 의사진단 여부
75,DC3_AG,대장암 진단시기,대장암 진단시기
76,DC4_DG,유방암 의사진단 여부,유방암 의사진단 여부
77,DC4_AG,유방암 진단시기,유방암 진단시기
78,DC5_DG,자궁경부암 의사진단 여부,자궁경부암 의사진단 여부
79,DC5_AG,자궁경부암 진단시기,자궁경부암 진단시기
80,DC6_DG,폐암 의사진단 여부,폐암 의사진단 여부
81,DC6_AG,폐암 진단시기,폐암 진단시기
82,DC7_DG,갑상선암 의사진단 여부,갑상선암 의사진단 여부
83,DC7_AG,갑상선암 진단시기,갑상선암 진단시기
84,DC11_DG,기타암1 의사진단 여부,기타암1 의사진단 여부
85,DC11_AG,기타암1 진단시기,기타암1 진단시기
86,DC12_DG,기타암2 의사진단 여부,기타암2 의사진단 여부
87,DC12_AG,기타암2 진단시기,기타암2 진단시기
88,DF2_AG,우울증 진단시기,우울증 진단시기
89,DL1_DG,아토피피부염 의사진단 여부,아토피피부염 의사진단 여부
90,DL1_AG,아토피피부염 진단시기,아토피피부염 진단시기
91,DJ8_DG,알레르기비염 의사진단 여부,알레르기비염 의사진단 여부
92,DJ8_AG,알레르기비염 진단시기,알레르기비염 진단시기
93,DJ6_DG,부비동염 의사진단 여부,부비동염 의사진단 여부
94,DJ6_AG,부비동염 진단시기,부비동염 진단시기
95,DJ6_PT,부비동염 치료,부비동염 치료
96,DH4_DG,중이염 의사진단 여부,중이염 의사진단 여부
97,DH4_AG,중이염 진단시기,중이염 진단시기
98,DH4_PT,중이염 치료,중이염 치료
99,DK8_AG,B형간염 진단시기,B형간염 진단시기
100,DK9_AG,C형간염 진단시기,C형간염 진단시기
101,DK4_AG,간경변증 진단시기,간경변증 진단시기
102,M_2_YR,필요 의료서비스 미충족 여부,필요 의료서비스 미충족 여부
103,MT_NONTRT,연간미충족여부(병의원),연간미충족여부(병의원)
104,BH2_61,(성인) 2년간 암검진 여부 ,(성인) 2년간 암검진 여부 
105,LQ4_00,활동제한 여부,활동제한 여부
106,LQ4_01,"활동제한 사유: 골절, 관절부상","활동제한 사유: 골절, 관절부상"
107,LQ4_02,활동제한 사유: 기타 손상,활동제한 사유: 기타 손상
108,LQ4_03,"활동제한 사유(성인): 관절염, 류마티즘","활동제한 사유(성인): 관절염, 류마티즘"
109,LQ4_04,활동제한 사유: 심장질환,활동제한 사유: 심장질환
110,LQ4_05,"활동제한 사유: 호흡문제, 폐질환, 천식","활동제한 사유: 호흡문제, 폐질환, 천식"
111,LQ4_06,활동제한 사유(성인): 뇌졸중,활동제한 사유(성인): 뇌졸중
112,LQ4_07,활동제한 사유(성인): 당뇨병,활동제한 사유(성인): 당뇨병
113,LQ4_08,활동제한 사유(성인): 고혈압,활동제한 사유(성인): 고혈압
114,LQ4_09,"활동제한 사유(성인): 등, 목의 문제","활동제한 사유(성인): 등, 목의 문제"
115,LQ4_10,활동제한 사유(성인): 암,활동제한 사유(성인): 암
116,LQ4_11,활동제한 사유: 치아 및 구강질환,활동제한 사유: 치아 및 구강질환
117,LQ4_12,활동제한 사유: 시력문제,활동제한 사유: 시력문제
118,LQ4_13,활동제한 사유: 청각문제,활동제한 사유: 청각문제
119,LQ4_14,활동제한 사유(성인): 치매,활동제한 사유(성인): 치매
120,LQ4_15,활동제한 사유: 우울/불안/정서상 문제,활동제한 사유: 우울/불안/정서상 문제
121,LQ4_16,활동제한 사유: 정신지체,활동제한 사유: 정신지체
122,LQ4_21,활동제한 사유(성인): 비만,활동제한 사유(성인): 비만
123,LQ4_22,활동제한 사유(성인): 노령,활동제한 사유(성인): 노령
124,LQ4_25,활동제한 사유(성인): 신부전,활동제한 사유(성인): 신부전
125,LQ4_26,활동제한 사유(성인): 어지럼증,활동제한 사유(성인): 어지럼증
126,LQ4_27,활동제한 사유(성인): 위장장애,활동제한 사유(성인): 위장장애
127,LQ4_28,"활동제한 사유(성인): 무릎, 다리통증(관절염 제외)","활동제한 사유(성인): 무릎, 다리통증(관절염 제외)"
128,LQ4_29,활동제한 사유(성인): 두통,활동제한 사유(성인): 두통
129,LQ4_23,활동제한 사유: 기타,활동제한 사유: 기타
130,LQ1_SB,최근 1달간 와병여부,최근 1달간 와병여부
131,LQ1_MN,최근 1달간 와병일수,최근 1달간 와병일수
132,LQ2_AB,최근 1달간 결근여부,최근 1달간 결근여부
133,LQ2_MN,최근 1달간 결근일수,최근 1달간 결근일수
134,EQ5D,EQ-5D index***,EQ-5D index***
135,AC3,손상 횟수,손상 횟수
136,AC8_1_01,손상1 치료,손상1 치료
137,AC8_1_02,손상2 치료,손상2 치료
138,AC8_1_03,손상3 치료,손상3 치료
139,MH1_YR,1년간 입원이용 여부,1년간 입원이용 여부
140,MH1_1,입원이용 횟수,입원이용 횟수
141,MO1_WK,2주간 외래이용 여부,2주간 외래이용 여부
142,EC1_1,경제활동 상태,경제활동 상태
143,EC_OCCP,(취업자) 표준직업분류 대분류 코드,(취업자) 표준직업분류 대분류 코드
144,EC_STT_1,(취업자) 종사상지위,(취업자) 종사상지위
145,EC_WHT_0,(취업자) 정규직 여부,(취업자) 정규직 여부
146,EC_WHT_23,주당 평균 근로시간,주당 평균 근로시간
147,EC_WHT_5,변형근로시간,변형근로시간
148,EC_LGW_4,(성인) 최장일자리: 종사상지위,(성인) 최장일자리: 종사상지위
149,EC_LGW_5,(성인) 최장일자리: 종사상지위 상세,(성인) 최장일자리: 종사상지위 상세
150,EC_PEDU_1,(성인) 유년기환경: 아버지 교육수준,(성인) 유년기환경: 아버지 교육수준
151,EC_PEDU_2,(성인) 유년기환경: 어머니 교육수준,(성인) 유년기환경: 어머니 교육수준
152,BO3_01,체중조절방법: 운동,체중조절방법: 운동
153,BO3_03,체중조절방법: 식사량 감소,체중조절방법: 식사량 감소
154,BO3_14,체중조절방법: 결식(식사를 거름),체중조절방법: 결식(식사를 거름)
155,BO3_07,체중조절방법: 건강기능식품,체중조절방법: 건강기능식품
156,BO3_09,체중조절방법: 원푸드다이어트,체중조절방법: 원푸드다이어트
157,BO3_10,체중조절방법: 기타,체중조절방법: 기타
158,BD2_31,(만12세이상) 폭음 빈도,(만12세이상) 폭음 빈도
159,BD2_32,(성인) 여자 폭음 빈도,(성인) 여자 폭음 빈도
160,BD7_4,(성인) 가족/의사의 절주 권고 여부,(성인) 가족/의사의 절주 권고 여부
161,BD7_61,1년간 타인의 음주로 인한 피해 여부: 소란,1년간 타인의 음주로 인한 피해 여부: 소란
162,BD7_62,1년간 타인의 음주로 인한 피해 여부: 폭행,1년간 타인의 음주로 인한 피해 여부: 폭행
163,BD7_63,1년간 타인의 음주로 인한 피해 여부: 성추행,1년간 타인의 음주로 인한 피해 여부: 성추행
164,BD7_64,1년간 타인의 음주로 인한 피해 여부: 작업 또는 일상생활 중 사고,1년간 타인의 음주로 인한 피해 여부: 작업 또는 일상생활 중 사고
165,BD7_65,1년간 타인의 음주로 인한 피해 여부: 음주운전 사고,1년간 타인의 음주로 인한 피해 여부: 음주운전 사고
166,BD7_66,1년간 타인의 음주로 인한 피해 여부: 기타,1년간 타인의 음주로 인한 피해 여부: 기타
167,DR_MONTH,월간음주율,월간음주율
168,BA2_12,(성인) 운전시 안전벨트 착용여부,(성인) 운전시 안전벨트 착용여부
169,BA2_2_1,(성인) 1년간 음주운전 여부: 자전거,(성인) 1년간 음주운전 여부: 자전거
170,BA2_2_2,(성인) 1년간 음주운전 횟수: 자전거,(성인) 1년간 음주운전 횟수: 자전거
171,BA2_2_3,(성인) 1년간 음주운전 여부: 오토바이,(성인) 1년간 음주운전 여부: 오토바이
172,BA2_2_4,(성인) 1년간 음주운전 횟수: 오토바이,(성인) 1년간 음주운전 횟수: 오토바이
173,BA2_2_5,(성인) 1년간 음주운전 여부: 자동차,(성인) 1년간 음주운전 여부: 자동차
174,BA2_2_6,(성인) 1년간 음주운전 횟수: 자동차,(성인) 1년간 음주운전 횟수: 자동차
175,BA2_22,(성인) 1년간 음주운전차량: 동승 횟수,(성인) 1년간 음주운전차량: 동승 횟수
176,SC_SEATBLT2,동승차량 앞좌석 안전벨트 착용률,동승차량 앞좌석 안전벨트 착용률
177,BP_PHQ_1,(성인) PHQ-9 문항1,(성인) PHQ-9 문항1
178,BP_PHQ_2,(성인) PHQ-9 문항2,(성인) PHQ-9 문항2
179,BP_PHQ_3,(성인) PHQ-9 문항3,(성인) PHQ-9 문항3
180,BP_PHQ_4,(성인) PHQ-9 문항4,(성인) PHQ-9 문항4
181,BP_PHQ_5,(성인) PHQ-9 문항5,(성인) PHQ-9 문항5
182,BP_PHQ_6,(성인) PHQ-9 문항6,(성인) PHQ-9 문항6
183,BP_PHQ_7,(성인) PHQ-9 문항7,(성인) PHQ-9 문항7
184,BP_PHQ_8,(성인) PHQ-9 문항8,(성인) PHQ-9 문항8
185,BP_PHQ_9,(성인) PHQ-9 문항9,(성인) PHQ-9 문항9
186,BP1,평소 스트레스 인지 정도,평소 스트레스 인지 정도
187,BP5,2주이상 연속 우울감 여부,2주이상 연속 우울감 여부
188,BP6_10,1년간 자살 생각 여부,1년간 자살 생각 여부
189,BP6_2,1년간 자살 계획 여부,1년간 자살 계획 여부
190,BP6_31,1년간 자살 시도 여부,1년간 자살 시도 여부
191,BP7,1년간 정신문제 상담,1년간 정신문제 상담
192,MH_STRESS,스트레스 인지율,스트레스 인지율
193,SM_PRESNT,현재흡연율,현재흡연율
194,BE8_1,평소 하루 앉아서 보내는 시간(시간),평소 하루 앉아서 보내는 시간(시간)
195,BE8_2,평소 하루 앉아서 보내는 시간(분),평소 하루 앉아서 보내는 시간(분)
196,BE3_31,1주일간 걷기 일수,1주일간 걷기 일수
197,BE3_32,걷기 지속 시간(시간),걷기 지속 시간(시간)
198,BE3_33,걷기 지속 시간(분),걷기 지속 시간(분)
199,BE5_1,1주일간 근력운동 일수,1주일간 근력운동 일수
200,PA_AEROBIC,유산소 신체활동 실천율,유산소 신체활동 실천율
201,LW_MP_E,무월경사유 기타,무월경사유 기타
202,LW_MP_A,폐경연령,폐경연령
203,LW_MS_A,초경연령,초경연령
204,LW_BR,모유수유 경험 여부,모유수유 경험 여부
205,LW_BR_CH,모유수유 자녀수,모유수유 자녀수
206,LW_BR_DUR,모유수유기간(월 환산),모유수유기간(월 환산)
207,LW_BR_YY,모유수유기간(연),모유수유기간(연)
208,LW_BR_MM,모유수유기간(월),모유수유기간(월)
209,LW_OC,경구피임약 복용여부,경구피임약 복용여부
210,HE_FST,공복시간,공복시간
211,HE_HPDR,검진당일 고혈압 약 복용 여부,검진당일 고혈압 약 복용 여부
212,HE_DMDR,검진당일 당뇨병 약 복용 여부,검진당일 당뇨병 약 복용 여부
213,HE_MENS,생리여부,생리여부
214,HE_PRG,임신여부,임신여부
215,HE_FH,만성질환 의사진단 가족력 여부,만성질환 의사진단 가족력 여부
216,HE_HPFH1,고혈압 의사진단 여부(부),고혈압 의사진단 여부(부)
217,HE_HPFH2,고혈압 의사진단 여부(모),고혈압 의사진단 여부(모)
218,HE_HPFH3,고혈압 의사진단 여부(형제자매),고혈압 의사진단 여부(형제자매)
219,HE_HLFH1,고지혈증 의사진단 여부(부),고지혈증 의사진단 여부(부)
220,HE_HLFH2,고지혈증 의사진단 여부(모),고지혈증 의사진단 여부(모)
221,HE_HLFH3,고지혈증 의사진단 여부(형제자매),고지혈증 의사진단 여부(형제자매)
222,HE_IHDFH1,허혈성심장질환 의사진단 여부(부),허혈성심장질환 의사진단 여부(부)
223,HE_IHDFH2,허혈성심장질환 의사진단 여부(모),허혈성심장질환 의사진단 여부(모)
224,HE_IHDFH3,허혈성심장질환 의사진단 여부(형제자매),허혈성심장질환 의사진단 여부(형제자매)
225,HE_STRFH1,뇌졸중 의사진단 여부(부),뇌졸중 의사진단 여부(부)
226,HE_STRFH2,뇌졸중 의사진단 여부(모),뇌졸중 의사진단 여부(모)
227,HE_STRFH3,뇌졸중 의사진단 여부(형제자매),뇌졸중 의사진단 여부(형제자매)
228,HE_DMFH1,당뇨병 의사진단 여부(부),당뇨병 의사진단 여부(부)
229,HE_DMFH2,당뇨병 의사진단 여부(모),당뇨병 의사진단 여부(모)
230,HE_DMFH3,당뇨병 의사진단 여부(형제자매),당뇨병 의사진단 여부(형제자매)
231,HE_THFH1,갑상선질환 의사진단 여부(부),갑상선질환 의사진단 여부(부)
232,HE_THFH2,갑상선질환 의사진단 여부(모),갑상선질환 의사진단 여부(모)
233,HE_THFH3,갑상선질환 의사진단 여부(형제자매),갑상선질환 의사진단 여부(형제자매)
234,HE_HBFH1,B형간염 의사진단 여부(부),B형간염 의사진단 여부(부)
235,HE_HBFH2,B형간염 의사진단 여부(모),B형간염 의사진단 여부(모)
236,HE_HBFH3,B형간염 의사진단 여부(형제자매),B형간염 의사진단 여부(형제자매)
237,HE_RPLS,맥박 규칙성 여부,맥박 규칙성 여부
238,HE_MPLS,60초 맥박수,60초 맥박수
239,HE_NARM,혈압 측정 팔,혈압 측정 팔
240,HE_SBP1,1차 수축기 혈압,1차 수축기 혈압
241,HE_DBP1,1차 이완기 혈압,1차 이완기 혈압
242,HE_SBP2,2차 수축기 혈압,2차 수축기 혈압
243,HE_DBP2,2차 이완기 혈압,2차 이완기 혈압
244,HE_SBP3,3차 수축기 혈압,3차 수축기 혈압
245,HE_DBP3,3차 이완기 혈압,3차 이완기 혈압
246,HE_SBP,"최종 수축기 혈압(2,3차 평균)","최종 수축기 혈압(2,3차 평균)"
247,HE_DBP,"최종 이완기 혈압(2,3차 평균)","최종 이완기 혈압(2,3차 평균)"
248,HE_HP,고혈압 유병여부(19세이상),고혈압 유병여부(19세이상)
249,HE_HT,신장,신장
250,HE_WT,체중,체중
251,HE_WC,허리둘레,허리둘레
252,HE_BMI,체질량지수,체질량지수
253,HE_OBE,비만 유병여부(19세이상),비만 유병여부(19세이상)
254,HE_GLU,공복혈당,공복혈당
255,HE_HBA1C,당화혈색소,당화혈색소
256,HE_CHOL,총콜레스테롤,총콜레스테롤
257,HE_HDL_ST2,HDL-콜레스테롤(보정값),HDL-콜레스테롤(보정값)
258,HE_TG,중성지방,중성지방
259,HE_LDL_DRCT,LDL-콜레스테롤(직접검사),LDL-콜레스테롤(직접검사)
260,HE_HCHOL,고콜레스테롤혈증 유병여부(19세이상),고콜레스테롤혈증 유병여부(19세이상)
261,HE_HTG,고중성지방혈증 유병여부(10세이상),고중성지방혈증 유병여부(10세이상)
262,HE_AST,AST(SGOT),AST(SGOT)
263,HE_ALT,ALT(SGPT),ALT(SGPT)
264,HE_ALT_ETC,ALT(SGPT) 장비분석범위,ALT(SGPT) 장비분석범위
265,HE_HEPAB,B형간염표면항원 양성여부(10세이상),B형간염표면항원 양성여부(10세이상)
266,HE_HEPAC,C형간염항체 양성여부(10세이상),C형간염항체 양성여부(10세이상)
267,HE_HB,헤모글로빈,헤모글로빈
268,HE_HCT,헤마토크리트,헤마토크리트
269,HE_ANEM,빈혈 유병여부(10세이상),빈혈 유병여부(10세이상)
270,HE_BUN,혈중요소질소,혈중요소질소
271,HE_CREA,혈중크레아티닌,혈중크레아티닌
272,HE_WBC,백혈구,백혈구
273,HE_RBC,적혈구,적혈구
274,HE_BPLT,혈소판,혈소판
275,HE_UACID,요산,요산
276,HE_UACID_ETC,요산 장비분석범위,요산 장비분석범위
277,HE_UPH,요산도,요산도
278,HE_UNITR,아질산염,아질산염
279,HE_USG,요비중,요비중
280,HE_UPRO,요단백,요단백
281,HE_UGLU,요당,요당
282,HE_UKET,요케톤,요케톤
283,HE_UBIL,요빌리루빈,요빌리루빈
284,HE_UBLD,요잠혈,요잠혈
285,HE_URO,유로빌리노겐,유로빌리노겐
286,HE_UCOT,요코티닌,요코티닌
287,HE_UCOT_ETC,요코티닌 검출한계,요코티닌 검출한계
288,HE_UNA,요나트륨,요나트륨
289,HE_UKAL,요칼륨,요칼륨
290,HE_UKAL_ETC,요칼륨 장비분석범위,요칼륨 장비분석범위
291,HE_FVC,노력성 폐활량,노력성 폐활량
292,HE_FVCP,노력성 폐활량 (정상추정치와의 비율),노력성 폐활량 (정상추정치와의 비율)
293,HE_FEV1,1초간 노력성 호기량,1초간 노력성 호기량
294,HE_FEV1P,1초간 노력성 호기량 (정상추정치와의 비율),1초간 노력성 호기량 (정상추정치와의 비율)
295,HE_FEV1FVC,1초간 노력성 호기량 / 노력성 폐활량,1초간 노력성 호기량 / 노력성 폐활량
296,HE_FEV6,6초간 노력성 호기량,6초간 노력성 호기량
297,HE_FEF25_75,노력성 호기 중간유량,노력성 호기 중간유량
298,HE_PEF,최대 호기유속,최대 호기유속
299,HE_COPD,폐기능 판정결과,폐기능 판정결과
300,HE_COUGH1,연속 3개월이상 기침 경험여부,연속 3개월이상 기침 경험여부
301,HE_COUGH2,연속 3개월이상 기침 경험기간,연속 3개월이상 기침 경험기간
302,HE_SPUT1,연속 3개월이상 가래 경험여부,연속 3개월이상 가래 경험여부
303,HE_SPUT2,연속 3개월이상 가래 경험기간,연속 3개월이상 가래 경험기간
304,HE_PFTDR,만성폐쇄성폐질환 의사진단 여부,만성폐쇄성폐질환 의사진단 여부
305,HE_PFTAG,만성폐쇄성폐질환 의사진단 연령,만성폐쇄성폐질환 의사진단 연령
306,HE_PFTTR,만성폐쇄성폐질환 치료 여부,만성폐쇄성폐질환 치료 여부
307,HE_PFTHS,만성폐쇄성폐질환 입원 여부,만성폐쇄성폐질환 입원 여부
308,OR1,본인인지 구강건강상태,본인인지 구강건강상태
309,O_PAIN,최근 1년간 치통 경험유무,최근 1년간 치통 경험유무
310,O_ORTHO,교정치료 경험 유무,교정치료 경험 유무
311,BM1_0,어제 하루 칫솔질 여부,어제 하루 칫솔질 여부
312,BM1_1,칫솔질 시기: 아침식사 전,칫솔질 시기: 아침식사 전
313,BM1_2,칫솔질 시기: 아침식사 후,칫솔질 시기: 아침식사 후
314,BM1_3,칫솔질 시기: 점심식사 전,칫솔질 시기: 점심식사 전
315,BM1_4,칫솔질 시기: 점심식사 후,칫솔질 시기: 점심식사 후
316,BM1_5,칫솔질 시기: 저녁식사 전,칫솔질 시기: 저녁식사 전
317,BM1_6,칫솔질 시기: 저녁식사 후,칫솔질 시기: 저녁식사 후
318,BM1_7,칫솔질 시기: 간식 후,칫솔질 시기: 간식 후
319,BM1_8,칫솔질 시기: 잠자기 전,칫솔질 시기: 잠자기 전
320,BM2_1,사용용품: 치실(Floss),사용용품: 치실(Floss)
321,BM2_3,사용용품: 치간칫솔,사용용품: 치간칫솔
322,BM2_2,사용용품: 양치용액(구강세정액),사용용품: 양치용액(구강세정액)
323,BM2_4,사용용품: 전동칫솔,사용용품: 전동칫솔
324,BM13,운동 또는 사고로 인한 치아손상 경험여부,운동 또는 사고로 인한 치아손상 경험여부
325,BM13_1,치아손상 사유: 운동,치아손상 사유: 운동
326,BM13_2,치아손상 사유: 폭력,치아손상 사유: 폭력
327,BM13_3,치아손상 사유: 교통사고,치아손상 사유: 교통사고
328,BM13_4,치아손상 사유: 안전사고,치아손상 사유: 안전사고
329,BM13_5,치아손상 사유: 기타,치아손상 사유: 기타
330,BM13_6,치아손상 사유: 기타상세,치아손상 사유: 기타상세
331,BM7,(성인) 씹기 문제,(성인) 씹기 문제
332,O_CHEW_D,저작불편 호소 여부,저작불편 호소 여부
333,BM8,(성인) 말하기 문제,(성인) 말하기 문제
334,OR1_2,최근 1년간 구강검진 여부,최근 1년간 구강검진 여부
335,MO4_00,치과병의원 이용 여부,치과병의원 이용 여부
336,MO4_8,진료항목: 치아신경치료,진료항목: 치아신경치료
337,MO4_12,진료항목: 다쳐서 빠지거나 부러진 치아 치료,진료항목: 다쳐서 빠지거나 부러진 치아 치료
338,BM14,치과진료 미치료 여부,치과진료 미치료 여부
339,BM14_1,치과진료 미치료 이유,치과진료 미치료 이유
340,BM14_2,치과진료 미치료 이유 기타상세,치과진료 미치료 이유 기타상세
341,T_Q_HR,본인 청력,본인 청력
342,GS_USE,주요 사용하는 손,주요 사용하는 손
343,GS_MEA_R_1,1차 악력측정_오른손,1차 악력측정_오른손
344,GS_MEA_R_2,2차 악력측정_오른손,2차 악력측정_오른손
345,GS_MEA_R_3,3차 악력측정_오른손,3차 악력측정_오른손
346,GS_MEA_L_1,1차 악력측정_왼손,1차 악력측정_왼손
347,GS_MEA_L_2,2차 악력측정_왼손,2차 악력측정_왼손
348,GS_MEA_L_3,3차 악력측정_왼손,3차 악력측정_왼손
349,L_BR,식품섭취조사 1일 전 아침결식 여부,식품섭취조사 1일 전 아침결식 여부
350,L_LN,식품섭취조사 1일 전 점심결식 여부,식품섭취조사 1일 전 점심결식 여부
351,L_DN,식품섭취조사 1일 전 저녁결식 여부,식품섭취조사 1일 전 저녁결식 여부
352,L_BR_FQ,최근 1년 동안 1주 동안 아침식사 빈도,최근 1년 동안 1주 동안 아침식사 빈도
353,L_LN_FQ,최근 1년 동안 1주 동안 점심식사 빈도,최근 1년 동안 1주 동안 점심식사 빈도
354,L_DN_FQ,최근 1년동안 1주 동안 저녁식사 빈도,최근 1년동안 1주 동안 저녁식사 빈도
355,L_OUT_FQ,외식 횟수,외식 횟수
356,L_BR_TO,최근 1년 동안 아침식사 시 가족 및 가족 외 사람과의 동반 여부,최근 1년 동안 아침식사 시 가족 및 가족 외 사람과의 동반 여부
357,L_BR_WHO,최근 1년 동안 아침식사 시 동반대상 ,최근 1년 동안 아침식사 시 동반대상 
358,L_LN_TO,최근 1년 동안 점심식사 시 가족 및 가족 외 사람과의 동반 여부,최근 1년 동안 점심식사 시 가족 및 가족 외 사람과의 동반 여부
359,L_LN_WHO,최근 1년 동안 점심식사 시 동반 대상 ,최근 1년 동안 점심식사 시 동반 대상 
360,L_DN_TO,최근 1년 동안 저녁식사 시 가족 및 가족 외 사람과의 동반 여부,최근 1년 동안 저녁식사 시 가족 및 가족 외 사람과의 동반 여부
361,L_DN_WHO,최근 1년 동안 저녁식사 시 동반 대상 ,최근 1년 동안 저녁식사 시 동반 대상 
362,LS_1YR,최근 1년 동안 2주 이상 식이보충제 복용여부,최근 1년 동안 2주 이상 식이보충제 복용여부
363,LK_EDU,영양교육 여부,영양교육 여부
364,LK_LB_CO,영양표시 인지여부,영양표시 인지여부
365,LK_LB_US,영양표시 이용여부,영양표시 이용여부
366,LK_LB_IT,영양표시 중 관심영양소,영양표시 중 관심영양소
367,LK_LB_EF,영양표시 영향여부,영양표시 영향여부
368,N_DIET,식사요법여부,식사요법여부
369,N_DIET_WHY,식사요법이유,식사요법이유
370,N_DT_DS,식사요법이유_질환,식사요법이유_질환
371,N_DT_ETC,식사요법이유_기타,식사요법이유_기타
372,N_DUSUAL,평소식사량과 비교,평소식사량과 비교
373,N_WAT_C,물섭취량(컵),물섭취량(컵)
374,N_DAY,영양조사요일,영양조사요일
375,LF_SECUR_Y,식품안정성조사 여부,식품안정성조사 여부
376,LF_BUYER,응답자의 가구 내 식생활관리자 여부,응답자의 가구 내 식생활관리자 여부
377,LF_SAFE,식생활형편,식생활형편
378,WT_OE,검진구강조사 가중치,구강검사 & 영양조사 가중치
379,HOUSE,주택소유여부 ,주택소유여부
380,AINC_UNIT1,가구총소득(개방형) : 소득단위,가구총소득(개방형): 소득단위
381,AINC_1,가구총소득(개방형) : 소득액,가구총소득(개방형): 소득액
382,NPINS,민간의료보험가입여부,민간의료보험 가입여부
