,dis,var,Cor,dis_설명,var_설명
340,DE1_PR,DC2_PT,0.408,당뇨병 현재 유병 여부 ,간암 치료 여부 
338,DE1_PR,DE1_PT,0.755,당뇨병 현재 유병 여부 ,당뇨병 치료 
337,DE1_PR,AC8_1_02,-0.655,당뇨병 현재 유병 여부 ,손상2 치료
289,DE1_PR,BA2_2_2,-0.511,당뇨병 현재 유병 여부 ,(성인) 1년간 음주운전 횟수: 자전거
97,DE1_PR,BE3_72,-0.62,당뇨병 현재 유병 여부 ,일_고강도 신체활동 일수
256,DE1_PR,DK4_PT,0.48,당뇨병 현재 유병 여부 ,간경변증 치료 
269,DE1_PR,DN1_PR,0.474,당뇨병 현재 유병 여부 ,신부전 현재 유병 여부 
335,DE1_PR,DE1_3,-0.759,당뇨병 현재 유병 여부 ,당뇨병혈당관리치료여부
230,DE2_PR,BE3_73,-0.5,갑상선 질환 현재 유병 여부 ,일_고강도 신체활동 시간(시간)
69,DE2_PR,BE3_78,0.775,갑상선 질환 현재 유병 여부 ,여가_고강도 신체활동 시간(분)
215,DE2_PR,DC11_PR,-0.5,갑상선 질환 현재 유병 여부 ,기타암1 현재 유병 여부 
266,DE2_PR,BS5,-0.408,갑상선 질환 현재 유병 여부 ,(성인) 1년간 하루이상 금연 여부
61,DE2_PR,BE3_77,-1.0,갑상선 질환 현재 유병 여부 ,여가_고강도 신체활동 시간(시간)
290,DE2_PR,BA2_2_2,-0.563,갑상선 질환 현재 유병 여부 ,(성인) 1년간 음주운전 횟수: 자전거
348,DE2_PR,DK8_PT,0.5,갑상선 질환 현재 유병 여부 ,B형간염 치료 
251,DE2_PR,DC4_PT,-0.612,갑상선 질환 현재 유병 여부 ,유방암 치료 여부 
161,DE2_PR,HE_PFTTR,0.577,갑상선 질환 현재 유병 여부 ,만성폐쇄성폐질환 치료 여부
98,DE2_PR,BE3_72,-0.866,갑상선 질환 현재 유병 여부 ,일_고강도 신체활동 일수
195,DE2_PR,HE_PFTAG,-0.671,갑상선 질환 현재 유병 여부 ,만성폐쇄성폐질환 의사진단 연령
345,DE2_PR,DE2_PT,0.872,갑상선 질환 현재 유병 여부 ,갑상선 질환 치료 
343,DE2_PR,DI3_2,-0.464,갑상선 질환 현재 유병 여부 ,뇌졸중 후유증
104,DE2_PR,BE3_74,0.756,갑상선 질환 현재 유병 여부 ,일_고강도 신체활동 시간(분)
327,DE2_PR,AC3_2_01,0.507,갑상선 질환 현재 유병 여부 ,손상1 발생시기-월
173,DE2_PR,BE3_76,-0.693,갑상선 질환 현재 유병 여부 ,여가_고강도 신체활동 일수
299,DF2_PR,BS12_2,-0.577,우울증 현재 유병 여부,(성인) 전자담배 현재사용여부
265,DF2_PR,BS5,0.482,우울증 현재 유병 여부,(성인) 1년간 하루이상 금연 여부
67,DF2_PR,BE3_78,-0.433,우울증 현재 유병 여부,여가_고강도 신체활동 시간(분)
171,DF2_PR,BE3_76,0.556,우울증 현재 유병 여부,여가_고강도 신체활동 일수
277,DF2_PR,BE3_84,-0.488,우울증 현재 유병 여부,일_중강도 신체활동 시간(분)
96,DF2_PR,BE3_72,1.0,우울증 현재 유병 여부,일_고강도 신체활동 일수
294,DF2_PR,DF2_PT,0.682,우울증 현재 유병 여부,우울증 치료 
91,DF2_PR,DC1_PT,-1.0,우울증 현재 유병 여부,위암 치료 여부
103,DF2_PR,BE3_74,-1.0,우울증 현재 유병 여부,일_고강도 신체활동 시간(분)
283,DF2_PR,AC8_1_01,0.404,우울증 현재 유병 여부,손상1 치료
83,DF2_PR,DI5_PT,0.447,우울증 현재 유병 여부,심근경색증 치료
288,DF2_PR,BA2_2_2,1.0,우울증 현재 유병 여부,(성인) 1년간 음주운전 횟수: 자전거
39,DF2_PR,LQ2_MN,0.504,우울증 현재 유병 여부,최근 1달간 결근일수
252,DH4_PR,DC4_PT,0.632,중이염 현재 유병 여부,유방암 치료 여부 
257,DH4_PR,DK4_PT,0.5,중이염 현재 유병 여부,간경변증 치료 
189,DH4_PR,DC6_PT,-0.5,중이염 현재 유병 여부,폐암 치료 여부 
162,DH4_PR,HE_PFTTR,0.548,중이염 현재 유병 여부,만성폐쇄성폐질환 치료 여부
352,DH4_PR,DH4_PT,0.513,중이염 현재 유병 여부,중이염 치료
355,DH4_PR,BA2_2_3,-0.439,중이염 현재 유병 여부,(성인) 1년간 음주운전 여부: 오토바이
108,DH4_PR,DJ4_3,-0.611,중이염 현재 유병 여부,천식 약복용
216,DH4_PR,DC11_PR,0.417,중이염 현재 유병 여부,기타암1 현재 유병 여부 
270,DH4_PR,DN1_PR,0.408,중이염 현재 유병 여부,신부전 현재 유병 여부 
272,DH4_PR,DN1_PT,0.408,중이염 현재 유병 여부,신부전 치료 
200,DH4_PR,DJ4_PT,0.417,중이염 현재 유병 여부,천식 치료 
221,DH4_PR,DC11_PT,0.75,중이염 현재 유병 여부,기타암1 치료 여부 
225,DH4_PR,BS5_4,-0.439,중이염 현재 유병 여부,(성인) 니코틴의존
0,DI1_PR,DI1_PT,0.82,고혈압 현재 유병 여부 ,고혈압 치료
2,DI1_PR,DI1_2,-0.773,고혈압 현재 유병 여부 ,혈압조절제 복용
6,DI1_PR,DC12_PR,-1.0,고혈압 현재 유병 여부 ,기타암2 현재 유병 여부 
5,DI1_PR,HE_HP,0.704,고혈압 현재 유병 여부 ,고혈압 유병여부(19세이상)
14,DI2_PR,HE_HCHOL,0.682,이상지질혈증 현재 유병 여부,고콜레스테롤혈증 유병여부(19세이상)
7,DI2_PR,DI2_2,-0.77,이상지질혈증 현재 유병 여부,이상지질혈증 약복용
16,DI2_PR,AC3_2_02,-0.409,이상지질혈증 현재 유병 여부,손상2 발생시기-월
15,DI2_PR,DI2_PT,0.789,이상지질혈증 현재 유병 여부,이상지질혈증 치료 
51,DI3_PR,DI3_PT,0.885,뇌졸중 현재 유병 여부 ,뇌졸중 치료 
64,DI3_PR,BE3_78,-0.43,뇌졸중 현재 유병 여부 ,여가_고강도 신체활동 시간(분)
44,DI3_PR,BA2_2_6,-0.455,뇌졸중 현재 유병 여부 ,(성인) 1년간 음주운전 횟수: 자동차
54,DI3_PR,DK9_PT,-0.612,뇌졸중 현재 유병 여부 ,C형간염 치료 
57,DI3_PR,BE3_77,0.542,뇌졸중 현재 유병 여부 ,여가_고강도 신체활동 시간(시간)
38,DI3_PR,LQ2_MN,0.592,뇌졸중 현재 유병 여부 ,최근 1달간 결근일수
41,DI3_PR,BA2_2_4,0.509,뇌졸중 현재 유병 여부 ,(성인) 1년간 음주운전 횟수: 오토바이
88,DI4_PR,DC1_PT,-0.439,심근경색증 또는 협심증 현재 유병 여부,위암 치료 여부
85,DI4_PR,DI6_PT,0.757,심근경색증 또는 협심증 현재 유병 여부,협심증 치료
75,DI4_PR,DI4_PT,0.815,심근경색증 또는 협심증 현재 유병 여부,심근경색증 또는 협심증 치료
93,DI4_PR,BE3_72,1.0,심근경색증 또는 협심증 현재 유병 여부,일_고강도 신체활동 일수
80,DI4_PR,DI5_PT,0.762,심근경색증 또는 협심증 현재 유병 여부,심근경색증 치료
99,DI4_PR,BE3_74,-1.0,심근경색증 또는 협심증 현재 유병 여부,일_고강도 신체활동 시간(분)
81,DI5_PR,DI5_PT,0.762,심근경색증 현재 유병 여부,심근경색증 치료
94,DI5_PR,BE3_72,1.0,심근경색증 현재 유병 여부,일_고강도 신체활동 일수
123,DI5_PR,BH2_67,-0.433,심근경색증 현재 유병 여부,(성인) 암검진_무료
100,DI5_PR,BE3_74,-1.0,심근경색증 현재 유병 여부,일_고강도 신체활동 시간(분)
105,DI5_PR,DJ4_3,0.421,심근경색증 현재 유병 여부,천식 약복용
76,DI5_PR,DI4_PT,0.792,심근경색증 현재 유병 여부,심근경색증 또는 협심증 치료
122,DI5_PR,BH1_8,-0.434,심근경색증 현재 유병 여부,(성인) 건강검진 _무료건강검진
118,DI5_PR,DL1_PT,-0.632,심근경색증 현재 유병 여부,아토피피부염 치료 
219,DI6_PR,DC11_PT,-0.531,협심증 현재 유병 여부,기타암1 치료 여부 
214,DI6_PR,DC11_PR,-0.439,협심증 현재 유병 여부,기타암1 현재 유병 여부 
276,DI6_PR,BE3_84,-0.425,협심증 현재 유병 여부,일_중강도 신체활동 시간(분)
224,DI6_PR,BS5_4,0.601,협심증 현재 유병 여부,(성인) 니코틴의존
90,DI6_PR,DC1_PT,-0.418,협심증 현재 유병 여부,위암 치료 여부
77,DI6_PR,DI4_PT,0.756,협심증 현재 유병 여부,심근경색증 또는 협심증 치료
86,DI6_PR,DI6_PT,0.805,협심증 현재 유병 여부,협심증 치료
194,DJ2_PR,HE_PFTAG,0.453,폐결핵 현재 유병 여부 ,만성폐쇄성폐질환 의사진단 연령
197,DJ2_PR,DJ2_PT,0.853,폐결핵 현재 유병 여부 ,폐결핵 치료 
95,DJ4_PR,BE3_72,0.56,천식 현재 유병 여부 ,일_고강도 신체활동 일수
169,DJ4_PR,BE3_76,0.471,천식 현재 유병 여부 ,여가_고강도 신체활동 일수
102,DJ4_PR,BE3_74,0.526,천식 현재 유병 여부 ,일_고강도 신체활동 시간(분)
106,DJ4_PR,DJ4_3,-0.595,천식 현재 유병 여부 ,천식 약복용
158,DJ4_PR,HE_PFTTR,-0.41,천식 현재 유병 여부 ,만성폐쇄성폐질환 치료 여부
198,DJ4_PR,DJ4_PT,0.619,천식 현재 유병 여부 ,천식 치료 
223,DJ4_PR,BS5_4,-0.487,천식 현재 유병 여부 ,(성인) 니코틴의존
218,DJ4_PR,DC11_PT,-0.509,천식 현재 유병 여부 ,기타암1 치료 여부 
46,DJ4_PR,BA2_2_6,0.53,천식 현재 유병 여부 ,(성인) 1년간 음주운전 횟수: 자동차
229,DJ4_PR,BE3_73,-0.645,천식 현재 유병 여부 ,일_고강도 신체활동 시간(시간)
213,DJ4_PR,DC11_PR,-0.408,천식 현재 유병 여부 ,기타암1 현재 유병 여부 
268,DJ6_PR,DN1_PR,0.548,부비동염 현재 유병 여부,신부전 현재 유병 여부 
245,DJ6_PR,LK_LB_IT,0.582,부비동염 현재 유병 여부,영양표시 중 관심영양소
107,DJ6_PR,DJ4_3,-0.405,부비동염 현재 유병 여부,천식 약복용
159,DJ6_PR,HE_PFTTR,-0.909,부비동염 현재 유병 여부,만성폐쇄성폐질환 치료 여부
262,DJ6_PR,BS3_3,0.88,부비동염 현재 유병 여부,(성인) 가끔흡연자 최근 1달간 흡연일수
254,DJ6_PR,DK4_PT,1.0,부비동염 현재 유병 여부,간경변증 치료 
264,DJ6_PR,BS5,-0.481,부비동염 현재 유병 여부,(성인) 1년간 하루이상 금연 여부
271,DJ6_PR,DN1_PT,0.548,부비동염 현재 유병 여부,신부전 치료 
248,DJ6_PR,DC4_PT,0.73,부비동염 현재 유병 여부,유방암 치료 여부 
89,DJ6_PR,DC1_PT,0.408,부비동염 현재 유병 여부,위암 치료 여부
47,DJ6_PR,BA2_2_6,0.467,부비동염 현재 유병 여부,(성인) 1년간 음주운전 횟수: 자동차
241,DJ6_PR,DJ6_PT,0.441,부비동염 현재 유병 여부,부비동염 치료
273,DJ8_PR,BS12_47,0.428,알레르기비염 현재 유병 여부 ,(성인) 현재사용담배종류: 찐담배
48,DJ8_PR,BA2_2_6,-0.417,알레르기비염 현재 유병 여부 ,(성인) 1년간 음주운전 횟수: 자동차
255,DJ8_PR,DK4_PT,0.707,알레르기비염 현재 유병 여부 ,간경변증 치료 
249,DJ8_PR,DC4_PT,0.447,알레르기비염 현재 유병 여부 ,유방암 치료 여부 
170,DJ8_PR,BE3_76,0.403,알레르기비염 현재 유병 여부 ,여가_고강도 신체활동 일수
160,DJ8_PR,HE_PFTTR,-0.832,알레르기비염 현재 유병 여부 ,만성폐쇄성폐질환 치료 여부
126,DK4_PR,DM1_PR,0.54,간경변증 현재유병 여부 ,관절염 현재 유병 여부
361,DK4_PR,BM13_3,-0.488,간경변증 현재유병 여부 ,치아손상 사유: 교통사고
464,DK4_PR,DE1_33,-0.527,간경변증 현재유병 여부 ,당뇨병혈당관리치료_비약물 요법
457,DK4_PR,HE_LDL_DRCT,0.453,간경변증 현재유병 여부 ,LDL-콜레스테롤(직접검사)
470,DK4_PR,BO1_2,-0.413,간경변증 현재유병 여부 ,(성인) 1년간 체중 감소량
460,DK4_PR,BM13_4,0.488,간경변증 현재유병 여부 ,치아손상 사유: 안전사고
43,DK4_PR,BA2_2_4,0.75,간경변증 현재유병 여부 ,(성인) 1년간 음주운전 횟수: 오토바이
467,DK4_PR,LQ4_22,-0.509,간경변증 현재유병 여부 ,활동제한 사유(성인): 노령
111,DK4_PR,DJ4_3,-0.612,간경변증 현재유병 여부 ,천식 약복용
516,DK4_PR,BD2_1,-0.536,간경변증 현재유병 여부 ,(만12세이상) 한번에 마시는 음주량
515,DK4_PR,DE1_32,0.527,간경변증 현재유병 여부 ,당뇨병혈당관리치료_당뇨병약 
511,DK4_PR,LQ4_06,-0.509,간경변증 현재유병 여부 ,활동제한 사유(성인): 뇌졸중
512,DK4_PR,LQ4_11,-0.509,간경변증 현재유병 여부 ,활동제한 사유: 치아 및 구강질환
487,DK4_PR,LQ4_07,-0.509,간경변증 현재유병 여부 ,활동제한 사유(성인): 당뇨병
261,DK4_PR,DK4_PT,0.734,간경변증 현재유병 여부 ,간경변증 치료 
478,DK4_PR,LQ4_09,0.429,간경변증 현재유병 여부 ,"활동제한 사유(성인): 등, 목의 문제"
513,DK4_PR,LQ4_13,-0.509,간경변증 현재유병 여부 ,활동제한 사유: 청각문제
