,변수명,변수설명
90,N_MUFA,1일 단일불포화지방산 섭취량(g)
91,N_PUFA,1일 다가불포화지방산 섭취량(g)
92,N_N3,1일 n-3계 지방산 섭취량(g)
93,N_N6,1일 n-6계 지방산 섭취량(g)
94,N_CHOL,1일 콜레스테롤 섭취량(mg)
95,N_CHO,1일 탄수화물 섭취량(g)
96,N_TDF,1일 식이섬유 섭취량(g)
97,N_SUGAR,1일 당 섭취량(g)
98,N_CA,1일 칼슘 섭취량(mg)
99,N_PHOS,1일 인 섭취량(mg)
100,N_FE,1일 철 섭취량(mg)
101,N_NA,1일 나트륨 섭취량(mg)
102,N_K,1일 칼륨 섭취량(mg)
103,N_VA_RAE,비타민A(레티놀 활성 당량) 섭취량(μgRAE)
104,N_CAROT,1일 베타카로틴 섭취량(μg)
105,N_RETIN,1일 레티놀 섭취량(μg)
106,N_B1,1일 티아민 섭취량(mg)
107,N_B2,1일 리보플라빈 섭취량(mg)
108,N_NIAC,1일 나이아신 섭취량(mg)
109,N_FOLATE,1일 엽산 섭취량(μgDFE)
110,N_VITC,1일 비타민C 섭취량(mg)
111,LF_secur_y,식품안정성조사 여부
112,LF_BUYER,응답자의 가구 내 식생활관리자 여부
113,LF_CHIL,가구 내 아동 포함 여부
114,LF_SAFE,식생활형편
115,LF_S2,식비가 부족하여 먹을 것이 떨어진 경험
116,LF_S3,식비가 부족하여 먹을 것이 떨어질까 걱정한 경험
117,LF_S4,식비가 부족하여 균형잡힌 식사를 할 수 없던 경험
118,LF_S5,식비가 부족하여 식사를 거른 경험
119,LF_S5_1,식비가 부족하여 식사를 거른 빈도
120,LF_S6,식비가 부족하여 생각하는 양보다 적게 먹은 경험
121,LF_S7,식비가 부족하여 배고픈데 먹지 못한 경험
122,LF_S8,식비가 부족하여 필요한 만큼 먹지 못해 살이 빠진 경험
123,LF_S9,식비가 부족하여 하루 종일  굶은 경험
124,LF_S9_1,식비가 부족하여 하루 종일  굶은 빈도
125,LF_S10,식비가 부족하여 가구 내 아동에게 값싼 한두 가지 음식만 준 경험
126,LF_S11,식비가 부족하여 가구 내 아동에게 균형 잡힌 식사를 주지 못한 경험
127,LF_S12,식비가 부족하여 가구 내 아동에게 필요한 만큼 주지 못한 경험
128,LF_S13,식비가 부족하여 가구 내 아동의 식사량을 줄인 경험
129,LF_S14,식비가 부족하여 가구 내 아동이 식사를 거른 경험
130,LF_S14_1,식비가 부족하여 가구 내 아동이 식사를 거른 빈도
131,LF_S15,식비가 부족하여 가구 내 아동이 배가 고픈데도 먹지 못한 경험
132,LF_S16,식비가 부족하여 가구 내 아동이 하루 종일 굶은 경험
133,LF_SECUR,식품안정성 점수
134,LF_SECUR_G,수준별 식품안정성 정도
